Repository,URL,LOC,NOC,NCL,RFC,CBO,DIT,LCOM5,WMC
JavaCoffeeShop,https://github.com/bmvermeer/JavaCoffeeShop,5592,3,120,957,231,3,147,873
shop,https://github.com/npolyakova/shop,705,0,24,102,15,0,27,84
Shopping-Cart-Web-App,https://github.com/visalsrimanga/Shopping-Cart-Web-App,1167,0,81,147,57,9,69,129
CafeShopManagementSystem,https://github.com/marcoman2/CafeShopManagementSystem,5745,0,24,279,33,0,21,540
pion-shop,https://github.com/songsimo/pion-shop,1425,3,45,177,57,3,42,150
Online-Shopping-Application,https://github.com/Roshan-Patro/Online-Shopping-Application,7224,0,159,780,486,30,105,903
Yoyoshop,https://github.com/stellariumImpl/Yoyoshop,7899,0,114,1089,393,33,174,864
ShopCarts,https://github.com/BogomolovISerg/ShopCarts,3936,21,114,636,246,21,114,528
Shopzilla-Online-Shopping-Platform,https://github.com/Shubh2-0/Shopzilla-Online-Shopping-Platform,28350,0,543,1821,1161,15,570,2037
EazyShop,https://github.com/alokrai0607/EazyShop,5748,0,147,615,366,18,126,618
cs490-online-shopping-cart,https://github.com/tusimegod123/cs490-online-shopping-cart,23130,0,546,1272,738,36,822,1869
instamall,https://github.com/edison-lhk/instamall,11235,0,420,1770,900,24,567,1716
E-Commerce-Website,https://github.com/arpanghosh2414/E-Commerce-Website,3786,0,120,276,255,18,231,330
E-Shop,https://github.com/MaarkNassef/E-Shop,9294,0,357,1293,429,0,432,1029
shop_online,https://github.com/ycshang123/shop_online,9168,6,273,564,588,48,120,600
Shopping-Mall,https://github.com/itwill-project/Shopping-Mall,16032,0,375,1764,708,0,321,1155
yesaladin_shop,https://github.com/NHN-YesAladin/yesaladin_shop,153984,18,1650,10308,7299,249,1416,6663
online-shop,https://github.com/Yashmerino/online-shop,14898,45,216,921,531,78,165,786
CoffeeShopSystem,https://github.com/David-Garrancho/CoffeeShopSystem,6570,0,171,1266,240,57,375,1404
coffee-shop,https://github.com/livelysb/coffee-shop,2607,6,117,282,282,9,87,186
shoppers-retail,https://github.com/devendrasanghavi404/shoppers-retail,2364,0,90,435,51,3,84,336
ItesaqShop,https://github.com/WalaaASA/ItesaqShop,10464,0,348,1191,426,0,459,1473
Pizza_Shop,https://github.com/jwanderson314/Pizza_Shop,555,0,30,33,6,0,6,36
Internet-Shop,https://github.com/Advanced-Programming-1401/Internet-Shop,1170,9,18,240,36,9,18,210
PeaShop,https://github.com/OOP-Project-ShopingApp/PeaShop,4194,0,51,567,60,0,36,777
jingShop,https://github.com/jsyGitTest/jingShop,18441,45,267,2325,621,120,363,2751
shop,https://github.com/Vitaly2022/shop,10602,0,177,1857,588,21,261,1458
shop,https://github.com/coderzhn/shop,7020,0,156,480,327,33,132,510
shop,https://github.com/codaholichq/shop,336,0,15,57,12,0,12,42
ShopTrack,https://github.com/BrandanBurgess/ShopTrack,9303,6,276,1317,438,15,399,1221
gui-shop,https://github.com/UnsafeDodo/gui-shop,4113,3,81,480,225,3,123,579
pizza-shop-forClass,https://github.com/JohnWCCI/pizza-shop-forClass,1398,3,45,357,69,3,39,243
Car-Shop-Application,https://github.com/longleDevops/Car-Shop-Application,7941,6,105,1350,270,6,210,1032
springboot-shopping-mall,https://github.com/ym1085/springboot-shopping-mall,13800,18,297,1398,774,18,339,1362
e-shopping-cart,https://github.com/dasswayam/e-shopping-cart,2322,0,54,402,105,12,66,300
pizza-shop-forClass,https://github.com/JohnWCCI/pizza-shop-forClass,1398,3,45,357,69,3,39,243
shopping-cart-service,https://github.com/josdem/shopping-cart-service,1191,0,75,108,78,3,54,93
WorkShopBTS,https://github.com/jairoArh/WorkShopBTS,1341,0,15,225,18,0,54,177
shopping-mall-team-project,https://github.com/Yujin051/shopping-mall-team-project,7674,0,168,660,372,3,162,519
shopping_v3,https://github.com/kousen/shopping_v3,2175,0,48,291,54,0,54,249
ShoppingAppApi,https://github.com/Skirtek/ShoppingAppApi,2715,0,78,360,105,0,75,324
COMP333-Coffe-shop,https://github.com/Omarmasalmah/COMP333-Coffe-shop,11721,0,75,789,117,0,123,1224
shopping-cart-event-sourcing,https://github.com/ahmedemad3/shopping-cart-event-sourcing,720,0,27,93,39,0,15,93
newbee-mall,https://github.com/newbee-ltd/newbee-mall,15087,0,195,2805,627,24,246,2865
shop,https://github.com/roadbook2/shop,6654,24,162,588,444,48,162,645
shopizer,https://github.com/shopizer-ecommerce/shopizer,270066,1530,2877,46452,18378,3378,2667,33138
shop,https://github.com/lrwinx/shop,1614,0,72,114,57,15,75,156
shop,https://github.com/Manphil/shop,30882,48,300,6153,741,78,249,5589
Shop,https://github.com/Joryun/Shop,8964,27,147,1533,387,93,204,1209
shop,https://github.com/RojerAlone/shop,11583,21,171,2163,543,45,180,1986
jEdit,https://github.com/albfan/jEdit,337816,602,2354,32840,11378,1224,3180,49086
