Number,URL,WMC,DIT,NOC
1,https://github.com/Manphil/shop,1863,26,16
2,https://github.com/Joryun/Shop,403,31,9
3,https://github.com/RojerAlone/shop,662,15,7
4,https://github.com/roadbook2/shop,215,16,8
5,https://github.com/ikismail/ShoppingCart,224,14,0
6,https://github.com/xvmingyuan/shop,1834,19,14
7,https://github.com/atguigu01/Shopping,2176,72,51
8,https://github.com/laodaobazi/ldbz-shop,1067,31,0
9,https://github.com/myxh/CoolShopping,2178,118,71
10,https://github.com/ym12321a/Shop,835,0,0
11,https://github.com/SiGuiyang/spring-cloud-shop,1202,357,231
12,https://github.com/ChyengJason/ShoppingCart,205,2,0
13,https://github.com/chengzhx76/weixin-shop-spring-cloud,954,112,52
14,https://github.com/qiguliuxing/dts-shop,13081,44,39
15,https://github.com/voidzero42/ShoppingCart,385,4,1
16,https://github.com/funtl/spring-cloud-alibaba-my-shop,476,13,9
17,https://github.com/sczyh30/vertx-blueprint-microservice,1083,45,21
18,https://github.com/mcxtzhang/AnimShopButton,194,1,0
19,https://github.com/yxs666/cniao5-shop,1347,45,26
20,https://github.com/funtl/MyShopPlus,259,8,0
21,https://github.com/mission008/shopweb,339,7,2
22,https://github.com/OCEChain/OCEMall,1334,21,20
23,https://github.com/EleTeam/Shop-for-JavaWeb,6472,295,180
24,https://github.com/khozema-nullwala/online-shopping,338,4,0
25,https://github.com/MaJesTySA/miaosha_Shop,622,17,6
26,https://github.com/danielbryantuk/oreilly-docker-java-shopping,83,0,0
27,https://github.com/whoiszxl/shopzz,1480,187,63
28,https://github.com/marwa-eltayeb/Souq_ShopOnline,715,5,0
29,https://github.com/shashirajraja/shopping-cart,348,6,0
30,https://github.com/NearbyShops/Nearby-Shops-Android-app,10471,74,11
31,https://github.com/tonyvu2014/android-shoppingcart,87,1,0
32,https://github.com/akshayub/NITKart,160,0,0
33,https://github.com/woefe/ShoppingList,445,11,5
34,https://github.com/kim2kim/shop,1868,108,97
35,https://github.com/Sunagatov/Online-Store,750,9,5
36,https://github.com/hdimitrieski/e-shop,910,185,92
37,https://github.com/sushildangi/online-shopping,250,6,0
38,https://github.com/mcharmas/shoppinglist-clean-architecture-example,322,43,7
39,https://github.com/vijayjoshi16/Shopping-Ecommerce-App-Project,281,0,0
